Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Macritchie Reservoir,2024,2,20,1,0.6,1,1,-,-,-,-,-
Macritchie Reservoir,2024,2,21,1.2,1,1.2,1.2,-,-,-,-,-
Macritchie Reservoir,2024,2,22,20.6,14.4,17.6,20.6,-,-,-,-,-
Macritchie Reservoir,2024,2,23,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,24,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,25,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,26,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,27,0.4,0.2,0.2,0.4,-,-,-,-,-
Macritchie Reservoir,2024,2,28,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,29,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,1,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,2,0.8,0.8,0.8,0.8,-,-,-,-,-
Lower Peirce Reservoir,2024,2,3,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,4,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,5,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,6,4.2,4,4,4,-,-,-,-,-
Lower Peirce Reservoir,2024,2,7,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,8,27,21.2,21.4,26.8,-,-,-,-,-
Lower Peirce Reservoir,2024,2,9,40,19.4,31.4,38.8,-,-,-,-,-
Lower Peirce Reservoir,2024,2,10,9.8,8.8,9.2,9.6,-,-,-,-,-
Lower Peirce Reservoir,2024,2,11,0.4,0.4,0.6,9.6,-,-,-,-,-
Lower Peirce Reservoir,2024,2,12,6.4,4.8,4.8,6.4,-,-,-,-,-
Lower Peirce Reservoir,2024,2,13,8.6,2.8,3.2,3.2,-,-,-,-,-
Lower Peirce Reservoir,2024,2,14,4.8,0.8,1,1.8,-,-,-,-,-
Lower Peirce Reservoir,2024,2,15,11.6,8.2,10.6,10.6,-,-,-,-,-
Lower Peirce Reservoir,2024,2,16,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,17,0.8,0.8,0.8,0.8,-,-,-,-,-
Lower Peirce Reservoir,2024,2,18,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,19,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,20,0.2,0.2,0.2,0.2,-,-,-,-,-
Lower Peirce Reservoir,2024,2,21,19.6,18.4,19.6,19.6,-,-,-,-,-
Lower Peirce Reservoir,2024,2,22,0.2,0.2,0.2,0.2,-,-,-,-,-
Lower Peirce Reservoir,2024,2,23,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,24,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,25,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,26,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,27,1,1,1,1,-,-,-,-,-
Lower Peirce Reservoir,2024,2,28,0,0,0,0,-,-,-,-,-
Lower Peirce Reservoir,2024,2,29,0,0,0,0,-,-,-,-,-
Admiralty,2024,2,1,0,0,0,0,    27.6,    31.3,    25.7,    14.1,    36.3
Admiralty,2024,2,2,1,0.8,0.8,0.8,    27.5,    32.0,    25.8,    11.9,    35.6
Admiralty,2024,2,3,0,0,0,0,    28.0,    32.7,    25.4,    11.7,    31.3
Admiralty,2024,2,4,0,0,0,0,    28.3,    33.0,    25.4,     9.9,    28.9
Admiralty,2024,2,5,0,0,0,0,    28.1,    32.8,    25.3,    12.1,    38.5
Admiralty,2024,2,6,0.2,0.2,0.2,0.2,    28.1,    33.0,    25.3,     9.0,    29.4
Admiralty,2024,2,7,0,0,0,0,    28.0,    32.9,    25.7,    11.1,    35.9
Admiralty,2024,2,8,18.8,18.2,18.8,18.8,    27.9,    33.2,    25.1,     9.9,    38.9
Admiralty,2024,2,9,35.2,16,18.8,34.6,    27.2,    31.9,    24.3,    10.1,    33.5
Admiralty,2024,2,10,2.4,1.2,2.2,2.4,    27.2,    31.8,    24.2,    14.3,    41.5
Admiralty,2024,2,11,0,0,0,1.2,    27.6,    31.4,    25.4,    15.0,    42.0
Admiralty,2024,2,12,7,5.8,5.8,5.8,    26.5,    29.4,    23.7,    14.1,    58.3
Admiralty,2024,2,13,14,9.8,9.8,11,    26.4,    28.9,    24.4,    15.6,    52.6
Admiralty,2024,2,14,9.2,5.8,5.8,6.6,    27.0,    30.8,    24.2,    13.0,    43.9
Admiralty,2024,2,15,1,0.6,0.8,0.8,    26.8,    28.6,    25.6,    13.2,    42.4
Admiralty,2024,2,16,0,0,0,0,    27.4,    31.1,    25.9,    15.3,    51.1
Admiralty,2024,2,17,3,2.4,3,3,    27.2,    30.8,    25.3,    13.1,    42.0
Admiralty,2024,2,18,0,0,0,0,    27.9,    32.3,    25.4,    12.6,    32.0
Admiralty,2024,2,19,0,0,0,0,    28.2,    32.6,    25.7,    12.7,    36.3
Admiralty,2024,2,20,21.6,19,21.6,21.6,-,-,-,-,-
Admiralty,2024,2,21,38,27.4,36.4,38,-,-,-,-,-
Admiralty,2024,2,22,2,1.8,1.8,1.8,    28.3,    33.8,    25.9,    10.1,    31.7
Admiralty,2024,2,23,0,0,0,0,    28.0,    31.7,    25.8,    13.1,    35.6
Admiralty,2024,2,24,0.4,0.2,0.2,0.4,    27.9,    30.9,    25.9,    12.5,    35.6
Admiralty,2024,2,25,0,0,0,0,    28.4,    33.0,    25.4,    14.1,    37.4
Admiralty,2024,2,26,0,0,0,0,    28.2,    32.0,    26.0,    16.7,    42.8
Admiralty,2024,2,27,0,0,0,0,    27.7,    30.5,    26.4,    13.6,    39.6
Admiralty,2024,2,28,0,0,0,0,    28.1,    31.9,    26.2,    16.5,    43.9
Admiralty,2024,2,29,0,0,0,0,    28.6,    33.5,    25.7,    14.1,    38.5
Pulau Ubin,2024,2,1,0,0,0,0,    27.7,    32.1,    25.2,     6.9,    27.8
Pulau Ubin,2024,2,2,0,0,0,0,    27.7,    31.6,    25.2,     6.2,    28.2
Pulau Ubin,2024,2,3,0,0,0,0,    28.1,    32.9,    25.2,     6.5,    25.9
Pulau Ubin,2024,2,4,0,0,0,0,    27.9,    33.4,    24.1,     5.5,    23.7
Pulau Ubin,2024,2,5,0,0,0,0,    27.7,    32.7,    24.2,     6.1,    24.8
Pulau Ubin,2024,2,6,4.4,4.2,4.2,4.2,    27.6,    33.2,    24.2,     4.9,    25.9
Pulau Ubin,2024,2,7,0,0,0,0.2,    27.7,    32.7,    24.8,     5.6,    27.8
Pulau Ubin,2024,2,8,0,0,0,0,    28.0,    32.5,    25.0,     4.9,    28.2
Pulau Ubin,2024,2,9,0,0,0,0,    27.9,    32.7,    25.3,     6.2,    21.3
Pulau Ubin,2024,2,10,11.4,5.6,7,10,    27.4,    32.6,    23.9,     6.5,    24.4
Pulau Ubin,2024,2,11,16.4,10.2,13.8,15.8,    27.1,    31.9,    24.1,     6.9,    32.0
Pulau Ubin,2024,2,12,8.2,3.2,4.2,10.4,    26.5,    29.7,    25.0,     7.1,    35.9
Pulau Ubin,2024,2,13,20.6,17.8,18.6,19.2,    26.8,    29.7,    24.5,     7.9,    29.1
Pulau Ubin,2024,2,14,5.6,3.2,3.4,3.6,    27.5,    31.7,    25.1,     6.3,    29.1
Pulau Ubin,2024,2,15,13.2,9.6,10.2,10.2,    26.9,    30.3,    24.9,     6.7,    28.5
Pulau Ubin,2024,2,16,0.8,0.8,0.8,0.8,    27.7,    31.8,    25.5,     8.1,    31.7
Pulau Ubin,2024,2,17,0,0,0,0,    27.2,    31.0,    24.5,     6.0,    28.9
Pulau Ubin,2024,2,18,0,0,0,0,    27.8,    32.0,    24.6,     5.9,    25.6
Pulau Ubin,2024,2,19,0,0,0,0,    28.1,    32.5,    24.9,     6.2,    24.4
Pulau Ubin,2024,2,20,0,0,0,0,    28.3,    33.1,    25.2,     5.6,    25.9
Pulau Ubin,2024,2,21,12.2,9.6,12.2,12.2,    27.8,    32.5,    25.2,     4.8,    21.7
Pulau Ubin,2024,2,22,0,0,0,0,    28.0,    32.6,    24.8,     4.4,    22.0
Pulau Ubin,2024,2,23,0,0,0,0,    28.1,    32.0,    25.2,     6.5,    25.6
Pulau Ubin,2024,2,24,0,0,0,0,    28.0,    32.1,    24.9,     6.5,    28.2
Pulau Ubin,2024,2,25,0,0,0,0,    28.2,    32.5,    24.4,     6.8,    26.7
Pulau Ubin,2024,2,26,0,0,0,0,    28.6,    32.1,    26.0,     8.4,    28.5
Pulau Ubin,2024,2,27,0,0,0,0,    28.0,    30.2,    26.6,     6.7,    24.4
Pulau Ubin,2024,2,28,0.2,0.2,0.2,0.2,    28.4,    31.8,    25.4,     7.9,    29.8
Pulau Ubin,2024,2,29,0,0,0,0,    28.6,    33.1,    25.3,     7.4,    25.2
East Coast Parkway,2024,2,1,0,0,0,0,    28.1,    31.1,    26.4,    13.5,    46.5
East Coast Parkway,2024,2,2,0,0,0,0,    28.3,    30.7,    26.6,    13.8,    51.5
East Coast Parkway,2024,2,3,0,0,0,0,    28.5,    32.0,    26.8,    13.0,    48.5
East Coast Parkway,2024,2,4,0,0,0,0,    28.5,    31.7,    26.3,    11.7,    37.4
East Coast Parkway,2024,2,5,0,0,0,0,    28.4,    32.3,    26.2,    13.3,    47.8
East Coast Parkway,2024,2,6,21.2,19,20.8,21.2,    28.3,    32.3,    26.0,    10.2,    38.2
East Coast Parkway,2024,2,7,0,0,0,0,    28.5,    31.6,    26.5,    11.9,    41.9
East Coast Parkway,2024,2,8,0,0,0,0,    28.6,    32.1,    26.6,     9.6,    34.6
East Coast Parkway,2024,2,9,0.8,0.8,0.8,0.8,    28.4,    31.3,    26.8,    11.1,    34.6
East Coast Parkway,2024,2,10,3.6,2.8,3.2,3.6,    27.8,    31.3,    25.3,    11.9,    40.0
East Coast Parkway,2024,2,11,12.6,6.2,8.2,9.8,    27.8,    31.0,    24.9,    13.2,    51.9
East Coast Parkway,2024,2,12,9.4,4.4,4.6,7.4,    26.9,    29.3,    25.0,    11.3,    51.5
East Coast Parkway,2024,2,13,6.6,5.4,5.4,5.6,    27.3,    29.4,    25.6,    13.4,    54.1
East Coast Parkway,2024,2,14,0.8,0.4,0.4,0.4,    28.2,    30.8,    26.3,    12.0,    39.6
East Coast Parkway,2024,2,15,2.8,1.6,1.6,1.6,    27.5,    30.0,    26.0,    11.5,    41.9
East Coast Parkway,2024,2,16,0,0,0,0,    28.2,    30.9,    26.9,    15.0,    54.1
East Coast Parkway,2024,2,17,0,0,0,0,    28.0,    30.1,    26.7,    12.2,    43.9
East Coast Parkway,2024,2,18,0,0,0,0,    28.5,    31.4,    26.6,    12.0,    40.0
East Coast Parkway,2024,2,19,0,0,0,0,    28.8,    31.9,    26.7,    11.1,    33.9
East Coast Parkway,2024,2,20,0,0,0,0,    28.9,    32.8,    27.0,    11.2,    40.0
East Coast Parkway,2024,2,21,6.6,5.8,6.2,6.6,    28.4,    32.0,    25.5,    11.4,    42.0
East Coast Parkway,2024,2,22,2.4,2.4,2.4,2.4,    28.3,    31.1,    26.7,     9.1,    33.9
East Coast Parkway,2024,2,23,0,0,0,0,    28.7,    31.6,    26.9,    13.3,    42.0
East Coast Parkway,2024,2,24,0,0,0,0,    28.6,    31.2,    26.8,    13.6,    44.6
East Coast Parkway,2024,2,25,0,0,0,0,    28.9,    32.1,    26.8,    13.5,    41.9
East Coast Parkway,2024,2,26,0.2,0.2,0.2,0.2,    28.8,    31.6,    27.1,    14.0,    46.1
East Coast Parkway,2024,2,27,3.6,1.6,2,3.6,    28.2,    30.1,    26.6,    12.9,    50.4
East Coast Parkway,2024,2,28,0,0,0,0,    28.8,    31.2,    27.5,    15.5,    49.3
East Coast Parkway,2024,2,29,0,0,0,0,    29.0,    32.2,    26.7,    13.6,    43.9
Marina Barrage,2024,2,1,0,0,0,0,-,-,-,11,32.8
Marina Barrage,2024,2,2,10,9.6,9.6,9.8,-,-,-,9.2,35.2
Marina Barrage,2024,2,3,22.4,21.4,22.4,22.4,-,-,-,9.3,40.7
Marina Barrage,2024,2,4,0,0,0,0,-,-,-,9.2,30.2
Marina Barrage,2024,2,5,0,0,0,0,-,-,-,10.3,32.8
Marina Barrage,2024,2,6,0,0,0,0,-,-,-,8,26.7
Marina Barrage,2024,2,7,0,0,0,0,-,-,-,10,30.2
Marina Barrage,2024,2,8,3.8,3.4,3.8,3.8,-,-,-,6.7,23.3
Marina Barrage,2024,2,9,22.4,19.4,20.4,22.4,-,-,-,8.4,28.5
Marina Barrage,2024,2,10,10.2,5.4,8,9.4,-,-,-,11.4,70.2
Marina Barrage,2024,2,11,8.2,7.2,8,8.2,-,-,-,11.6,42.8
Marina Barrage,2024,2,12,8,3,3,8.4,-,-,-,11.9,42.4
Marina Barrage,2024,2,13,10.4,9.6,10,10,-,-,-,13.4,38.9
Marina Barrage,2024,2,14,0,0,0,0,-,-,-,10.4,37.8
Marina Barrage,2024,2,15,5.6,3.8,4,4.4,-,-,-,12.5,38.2
Marina Barrage,2024,2,16,0,0,0,0,-,-,-,12.3,48.5
Marina Barrage,2024,2,17,0,0,0,0,-,-,-,10.2,39.6
Marina Barrage,2024,2,18,0,0,0,0,-,-,-,9.3,29.4
Marina Barrage,2024,2,19,0,0,0,0,-,-,-,9.7,30.2
Marina Barrage,2024,2,20,0,0,0,0,-,-,-,8.5,26.7
Marina Barrage,2024,2,21,0,0,0,0,-,-,-,7.6,26.7
Marina Barrage,2024,2,22,1.8,1.8,1.8,1.8,-,-,-,6.2,22.6
Marina Barrage,2024,2,23,0,0,0,0,-,-,-,9.6,29.8
Marina Barrage,2024,2,24,0,0,0,0,-,-,-,9.7,36.7
Marina Barrage,2024,2,25,0,0,0,0,-,-,-,10.6,32
Marina Barrage,2024,2,26,0,0,0,0,-,-,-,12,37
Marina Barrage,2024,2,27,1,1,1,1,-,-,-,10.3,38.2
Marina Barrage,2024,2,28,0,0,0,0,-,-,-,12.6,41.1
Marina Barrage,2024,2,29,0,0,0,0,-,-,-,12.9,36.7
Ang Mo Kio,2024,2,1,0,0,0,0,    27.9,    32.3,    26.0,     8.6,    34.3
Ang Mo Kio,2024,2,2,2,2,2,2,    27.8,    31.9,    25.8,     7.4,    34.3
Ang Mo Kio,2024,2,3,0,0,0,0,    28.3,    33.7,    25.6,     7.8,    33.5
Ang Mo Kio,2024,2,4,0,0,0,0,    28.5,    33.2,    25.5,     6.3,    24.4
Ang Mo Kio,2024,2,5,0,0,0,0,    28.3,    33.5,    25.1,     8.2,    31.7
Ang Mo Kio,2024,2,6,15.2,9.2,12.6,15.2,    27.9,    33.3,    25.6,     6.0,    27.4
Ang Mo Kio,2024,2,7,0.2,0.2,0.2,0.2,    28.1,    32.5,    25.5,     7.2,    33.2
Ang Mo Kio,2024,2,8,26.8,13.2,19.6,26.8,    27.9,    33.5,    25.6,     5.7,    38.5
Ang Mo Kio,2024,2,9,37.2,16.6,20.8,33,    27.2,    32.0,    24.7,     7.4,    28.2
Ang Mo Kio,2024,2,10,12.8,11,12,12.6,    27.5,    32.2,    24.4,     8.1,    35.2
Ang Mo Kio,2024,2,11,0.8,0.4,0.6,12.4,    27.7,    31.9,    25.1,     8.8,    42.0
Ang Mo Kio,2024,2,12,4,3.2,3.4,3.8,    26.7,    29.0,    24.6,     8.6,    40.0
Ang Mo Kio,2024,2,13,9.8,4.4,5.6,5.6,    26.5,    29.3,    24.2,     9.2,    50.4
Ang Mo Kio,2024,2,14,4,1.2,1.4,1.8,    27.4,    31.4,    24.5,     7.9,    44.3
Ang Mo Kio,2024,2,15,14,10,13.4,13.4,    26.7,    29.5,    25.3,     7.5,    42.0
Ang Mo Kio,2024,2,16,0,0,0,0,    27.7,    31.6,    25.9,     9.7,    43.5
Ang Mo Kio,2024,2,17,0.2,0.2,0.2,0.2,    27.5,    31.3,    25.5,     7.6,    38.9
Ang Mo Kio,2024,2,18,0,0,0,0,    28.1,    32.1,    25.4,     6.7,    28.9
Ang Mo Kio,2024,2,19,0,0,0,0,    28.6,    33.4,    25.7,     8.2,    31.3
Ang Mo Kio,2024,2,20,0,0,0,0,    28.6,    33.6,    25.8,     6.9,    28.2
Ang Mo Kio,2024,2,21,22,21.6,22,22,    27.9,    34.3,    24.7,     6.1,    37.8
Ang Mo Kio,2024,2,22,1,1,1,1,    28.2,    33.8,    25.8,     5.4,    26.3
Ang Mo Kio,2024,2,23,0,0,0,0,    28.2,    32.7,    25.8,     7.8,    34.6
Ang Mo Kio,2024,2,24,0,0,0,0,    28.2,    31.7,    25.8,     7.5,    29.1
Ang Mo Kio,2024,2,25,0,0,0,0,    28.7,    33.2,    25.5,     8.6,    40.0
Ang Mo Kio,2024,2,26,0,0,0,0,    28.6,    32.7,    26.2,     9.8,    38.2
Ang Mo Kio,2024,2,27,0,0,0,0,    27.9,    30.5,    26.8,     8.7,    43.2
Ang Mo Kio,2024,2,28,0,0,0,0,    28.4,    31.9,    26.3,    10.0,    46.5
Ang Mo Kio,2024,2,29,0,0,0,0,    28.9,    33.9,    25.7,     8.9,    31.3
Newton,2024,2,1,0,0,0,0,    27.7,    32.1,    25.8,     7.4,    35.0
Newton,2024,2,2,21.6,16.8,21.2,21.4,    27.4,    32.5,    24.8,     6.4,    33.5
Newton,2024,2,3,13.4,6.4,6.4,11.6,    27.7,    33.5,    23.5,     7.4,    38.5
Newton,2024,2,4,0,0,0,0,    28.2,    33.9,    25.0,     6.3,    26.3
Newton,2024,2,5,0,0,0,0,    28.4,    34.6,    25.3,     6.9,    32.8
Newton,2024,2,6,0,0,0,0,    28.1,    33.2,    25.6,     5.8,    28.5
Newton,2024,2,7,0,0,0,0,    28.1,    33.1,    25.8,     6.4,    30.9
Newton,2024,2,8,1,1,1,1,    28.0,    34.8,    26.0,     5.5,    29.8
Newton,2024,2,9,30.4,19.4,25.6,30.4,    27.5,    33.0,    24.4,     6.3,    28.9
Newton,2024,2,10,29,21.4,28.8,29,    27.3,    32.1,    24.1,     7.4,    31.7
Newton,2024,2,11,3.6,2.6,6,29.2,    27.5,    32.4,    24.5,     7.8,    37.8
Newton,2024,2,12,4,1.8,1.8,3.4,    26.3,    29.0,    24.7,     7.9,    50.7
Newton,2024,2,13,13.6,10,10.2,10.8,    26.3,    28.6,    23.9,     8.1,    42.0
Newton,2024,2,14,0.2,0.2,0.2,0.2,    27.5,    31.0,    25.4,     8.2,    40.7
Newton,2024,2,15,7.6,6,6,7,    26.5,    30.1,    24.8,     7.5,    37.4
Newton,2024,2,16,0.4,0.4,0.4,0.4,    27.7,    31.3,    26.1,     8.3,    43.2
Newton,2024,2,17,1.8,1.8,1.8,1.8,    27.6,    31.7,    25.9,     7.4,    35.0
Newton,2024,2,18,0,0,0,0,    28.2,    32.4,    25.9,     6.3,    31.3
Newton,2024,2,19,0,0,0,0,    28.3,    33.2,    26.0,     7.9,    32.0
Newton,2024,2,20,0,0,0,0,    28.6,    34.0,    26.2,     6.9,    27.0
Newton,2024,2,21,1.4,1.4,1.4,1.4,    28.2,    33.6,    26.1,     6.3,    30.2
Newton,2024,2,22,52.8,32,45.8,52.8,    27.8,    33.0,    24.0,     6.0,    40.0
Newton,2024,2,23,0.2,0.2,0.2,0.2,    28.0,    32.9,    26.1,     6.8,    30.9
Newton,2024,2,24,0,0,0,0,    28.0,    31.0,    26.0,     7.2,    30.6
Newton,2024,2,25,0,0,0,0,    28.5,    32.6,    25.8,     8.1,    32.4
Newton,2024,2,26,0,0,0,0,    28.3,    31.8,    26.5,     9.0,    38.2
Newton,2024,2,27,0.6,0.4,0.4,0.6,    27.7,    29.6,    26.8,     7.9,    42.0
Newton,2024,2,28,0,0,0,0,    28.3,    32.1,    26.5,     8.7,    37.4
Newton,2024,2,29,0,0,0,0,    28.7,    33.4,    25.9,     7.8,    35.6
Lim Chu Kang,2024,2,1,0.8,0.8,0.8,0.8,-,-,-,-,-
Lim Chu Kang,2024,2,2,9.2,8,8.2,8.6,-,-,-,-,-
Lim Chu Kang,2024,2,3,8.8,7,8.4,8.6,-,-,-,-,-
Lim Chu Kang,2024,2,4,0,0,0,0,-,-,-,-,-
Lim Chu Kang,2024,2,5,0,0,0,0,-,-,-,-,-
Lim Chu Kang,2024,2,6,1.6,1.6,1.6,1.6,-,-,-,-,-
Lim Chu Kang,2024,2,7,0,0,0,0,-,-,-,-,-
Lim Chu Kang,2024,2,8,18.4,16.4,18.2,18.4,-,-,-,-,-
Lim Chu Kang,2024,2,9,12.6,5.2,8,11.6,-,-,-,-,-
Lim Chu Kang,2024,2,10,6,4.6,5.6,5.8,-,-,-,-,-
Lim Chu Kang,2024,2,11,0.2,0.2,0.2,5.8,-,-,-,-,-
Lim Chu Kang,2024,2,12,1,0.6,0.6,0.8,-,-,-,-,-
Lim Chu Kang,2024,2,13,4.2,2.4,2.6,2.6,-,-,-,-,-
Lim Chu Kang,2024,2,14,4,1.6,1.8,2.8,-,-,-,-,-
Lim Chu Kang,2024,2,15,2,1.8,1.8,1.8,-,-,-,-,-
Lim Chu Kang,2024,2,16,0.2,0.2,0.2,0.2,-,-,-,-,-
Lim Chu Kang,2024,2,17,1.4,1.2,1.2,1.2,-,-,-,-,-
Lim Chu Kang,2024,2,18,0.2,0.2,0.2,0.2,-,-,-,-,-
Lim Chu Kang,2024,2,19,1.4,1.2,1.2,1.2,-,-,-,-,-
Lim Chu Kang,2024,2,20,0,0,0,0,-,-,-,-,-
Lim Chu Kang,2024,2,21,41.6,37.6,41.4,41.6,-,-,-,-,-
Lim Chu Kang,2024,2,22,26.6,26.2,26.6,26.6,-,-,-,-,-
Lim Chu Kang,2024,2,23,5.2,2.8,3.6,5,-,-,-,-,-
Lim Chu Kang,2024,2,24,0,0,0,0,-,-,-,-,-
Lim Chu Kang,2024,2,25,0,0,0,0,-,-,-,-,-
Lim Chu Kang,2024,2,26,0,0,0,0,-,-,-,-,-
Lim Chu Kang,2024,2,27,0.2,0.2,0.2,0.2,-,-,-,-,-
Lim Chu Kang,2024,2,28,0.4,0.4,0.4,0.4,-,-,-,-,-
Lim Chu Kang,2024,2,29,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,1,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,2,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,3,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,4,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,5,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,6,37.6,32.2,37,37.2,-,-,-,-,-
Marine Parade,2024,2,7,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,8,0,0,0,0,-,-,-,-,-
Marine Parade,2024,2,9,0.4,0.4,0.4,0.4,-,-,-,-,-
